[2025-05-27 23:17:31.082] ERROR: invalid destination language | Context: Critical error in main loop
[2025-05-28 00:19:53.407] ERROR: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25) | Context: Critical error in main loop
[2025-06-01 18:28:30.563] ERROR: 'id' | Context: Critical error in main loop
[2025-06-01 18:28:38.581] ERROR: 'id' | Context: Critical error in main loop
[2025-06-01 18:28:46.059] ERROR: 'id' | Context: Critical error in main loop
[2025-06-01 18:28:53.551] ERROR: 'id' | Context: Critical error in main loop
[2025-06-01 19:10:51.118] ERROR: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25) | Context: Critical error in main loop
[2025-06-01 19:13:45.341] ERROR: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25) | Context: Critical error in main loop
[2025-06-01 20:37:21.898] ERROR: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25) | Context: Critical error in main loop
[2025-06-01 21:37:16.196] ERROR: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25) | Context: Critical error in main loop
[2025-06-02 04:33:52.507] ERROR: local variable 'shared_dict_id' referenced before assignment | Context: Critical error in main loop
[2025-06-02 04:35:21.822] ERROR: local variable 'shared_dict_id' referenced before assignment | Context: Critical error in main loop
[2025-06-02 04:37:12.524] ERROR: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25) | Context: Critical error in main loop
[2025-06-02 04:44:04.095] ERROR: local variable 'db_manager' referenced before assignment | Context: Critical error in main loop
[2025-06-02 04:44:10.116] ERROR: local variable 'db_manager' referenced before assignment | Context: Critical error in main loop
[2025-06-02 04:49:48.245] ERROR: local variable 'db_manager' referenced before assignment | Context: Critical error in main loop
[2025-06-02 04:51:26.477] ERROR: local variable 'db_manager' referenced before assignment | Context: Critical error in main loop
[2025-06-02 04:57:39.104] ERROR: local variable 'db_manager' referenced before assignment | Context: Critical error in main loop
[2025-06-02 05:02:18.886] ERROR: local variable 'db_manager' referenced before assignment | Context: Critical error in main loop
[2025-06-02 05:37:11.010] ERROR: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25) | Context: Critical error in main loop
[2025-06-02 05:58:39.905] ERROR: database is locked | Context: Critical error in main loop
[2025-06-02 06:37:20.634] ERROR: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25) | Context: Critical error in main loop
[2025-06-02 07:37:16.878] ERROR: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25) | Context: Critical error in main loop
[2025-06-02 16:37:29.347] ERROR: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25) | Context: Critical error in main loop
[2025-06-03 08:23:22.577] ERROR: name 'clear_state' is not defined | Context: Critical error in main loop
[2025-06-03 08:23:37.693] ERROR: name 'clear_state' is not defined | Context: Critical error in main loop
[2025-06-03 08:24:37.879] ERROR: name 'clear_state' is not defined | Context: Critical error in main loop
[2025-06-03 08:24:43.913] ERROR: name 'clear_state' is not defined | Context: Critical error in main loop
[2025-06-04 01:59:14.655] ERROR: no such table: possessive_articles | Context: Critical error in main loop
[2025-06-04 01:59:30.006] ERROR: no such table: possessive_articles | Context: Critical error in main loop
